Title,Note,URL,Tags,Comment
,,,,
RICEHACK GlutenfreeBakery,,https://www.google.com/maps/place/RICEHACK+GlutenfreeBakery/data=!4m2!3m1!1s0x60188d86787ffdd3:0x9b6593524882c71,,
Kinnoho,,https://www.google.com/maps/place/Kinnoho/data=!4m2!3m1!1s0x60188ad9969dc001:0xc078f751e29e2fab,,
hocus pocus,,https://www.google.com/maps/place/hocus+pocus/data=!4m2!3m1!1s0x60188c797f92a233:0xd515197fd30b6bd,,
Jack In The Donuts,,https://www.google.com/maps/place/Jack+In+The+Donuts/data=!4m2!3m1!1s0x60188ea78af666d7:0x2c1a008ce92bc7f3,,
Yanagi Chaya,,https://www.google.com/maps/place/Yanagi+Chaya/data=!4m2!3m1!1s0x60188fb47bbfe51d:0x6be6e607bea55b19,,
Jugetsudo Tea Shop & Cafe,,https://www.google.com/maps/place/Jugetsudo+Tea+Shop+%26+Cafe/data=!4m2!3m1!1s0x60188be0cb07b3bb:0xaf5f1366d7a7b34e,,
HIGASHIYA GINZA,,https://www.google.com/maps/place/HIGASHIYA+GINZA/data=!4m2!3m1!1s0x60188be38bd9ba33:0x41c1908dadf7884,,
The Matcha Tokyo Omotesandō,,https://www.google.com/maps/place/The+Matcha+Tokyo+Omotesand%C5%8D/data=!4m2!3m1!1s0x60188dfac3f5b7d7:0x213f7d1da2c40c7d,,
Kagurazaka Saryō,,https://www.google.com/maps/place/Kagurazaka+Sary%C5%8D/data=!4m2!3m1!1s0x60188c5a76bb3091:0x7ba66f802f54d760,,
Nanaya Aoyama,,https://www.google.com/maps/place/Nanaya+Aoyama/data=!4m2!3m1!1s0x60188b5f20f9d365:0xfd79f7e97c7d2459,,
Azuki to Kōri,,https://www.google.com/maps/place/Azuki+to+K%C5%8Dri/data=!4m2!3m1!1s0x60188debf055ed09:0x6fd009b64b557913,,
